customer_id,first_name,last_name,email,phone,date_of_birth,gender,age_group,customer_segment,registration_date,preferred_contact,loyalty_points,address,city,state,zip_code
CUST_00000001,Philip,Vance,customer_1@example.com,001-242-578-8165,1997-11-10,F,26-35,Budget,2024-11-08,SMS,8157,"272 Ashley Port, Lake Jessica, MI 05798",Port Tony,FL,08740
CUST_00000002,Joseph,Young,customer_2@example.com,+1-438-856-7700x51844,1985-08-14,Other,36-45,Budget,2023-07-14,SMS,8955,"463 Gomez Ways, Tommyfort, FM 79696",New Nicolemouth,CA,22207
CUST_00000003,Jerry,Robertson,customer_3@example.com,932-922-5913x651,1974-08-13,M,46-55,Premium,2024-03-17,Phone,7374,"30299 Dennis Passage Apt. 920, West Sandra, NC 53644",Lake Jessicaport,TX,11740
CUST_00000004,Jay,Obrien,customer_4@example.com,772.936.9292x9842,1982-01-07,F,46-55,VIP,2022-08-23,Email,538,"03886 Catherine Fall, Valenzuelaton, FM 70156",North Timothyberg,NY,79599
CUST_00000005,Amber,Smith,customer_5@example.com,001-368-865-0863x76599,1952-11-14,Other,65+,Budget,2023-11-13,SMS,2689,"9864 Adam Summit, New Alexandrahaven, AL 49656",Lake Linda,FL,54089
CUST_00000006,Michael,Moore,customer_6@example.com,+1-994-448-6959x4636,1967-10-05,F,26-35,Budget,2024-02-07,SMS,6374,"562 Julie Mission Apt. 138, Hartmanside, RI 91865",East Paultown,FL,12440
CUST_00000007,Madeline,Ruiz,customer_7@example.com,+1-661-214-3519x066,2004-01-06,M,56-65,VIP,2024-11-23,SMS,9073,"38430 Christina Spring Apt. 530, North Wendy, WI 52855",Elizabethfurt,IL,77319
CUST_00000008,James,Smith,customer_8@example.com,001-511-984-8955x439,2003-01-03,Other,46-55,VIP,2024-02-29,SMS,2560,"181 Morgan Crescent Suite 894, Churchshire, NJ 32387",Susanmouth,IL,89838
CUST_00000009,Steven,Matthews,customer_9@example.com,8717416335,1976-12-22,M,46-55,Budget,2022-06-19,Phone,9683,"1651 Thomas Knoll, New Joseph, WA 90037",South Jillian,FL,31284
CUST_00000010,Jill,Salas,customer_10@example.com,333.939.5211,1983-02-09,Other,65+,Budget,2024-09-23,Phone,5250,"5957 Henry Track, Raymondshire, DC 07598",Mendozaside,CA,04769
CUST_00000011,Wayne,Long,customer_11@example.com,+1-727-618-7500x36915,1956-03-24,M,56-65,Premium,2023-03-24,Email,6003,"2763 Haynes Landing Suite 647, New David, OK 90417",Port Cory,TX,35883
CUST_00000012,Linda,Peters,customer_12@example.com,(932)627-0267x2885,1960-03-31,Other,56-65,Premium,2025-01-04,SMS,5591,"203 Woods Roads, South Julieview, MN 47727",Mauricechester,FL,16391
CUST_00000013,Michael,Frazier,customer_13@example.com,+1-339-898-2455x877,1983-02-05,M,46-55,Budget,2023-10-30,Phone,6749,"USNS Davidson, FPO AA 55789",Sweeneyland,TX,10870
CUST_00000014,Fernando,Perez,customer_14@example.com,244-496-4759x87622,1990-04-15,M,65+,Standard,2024-06-03,Email,3844,"USS Clark, FPO AA 14002",North Sharonfort,TX,72385
CUST_00000015,Brian,Wise,customer_15@example.com,411.449.2164x33472,1946-03-28,Other,18-25,Premium,2024-06-05,Phone,1875,"7848 Taylor Square Apt. 997, Millsside, ME 46005",Fernandezland,TX,58416
CUST_00000016,Kyle,Gutierrez,customer_16@example.com,(240)908-2547,2004-02-04,M,18-25,Budget,2023-11-13,Email,7551,"9308 Lopez Points Suite 632, Claytonbury, KS 10883",Garretthaven,FL,80876
CUST_00000017,Lindsey,Cohen,customer_17@example.com,684-963-1224x1797,1956-04-08,Other,56-65,VIP,2022-06-30,Phone,334,"14427 Jesse Drive, South Jeffchester, ME 65826",Steventon,FL,43787
CUST_00000018,Christopher,Christensen,customer_18@example.com,(604)861-8723,1996-08-13,Other,18-25,Budget,2022-10-20,Phone,9344,"7303 Moss Court, South Paul, ME 42845",Lake Jessica,FL,98113
CUST_00000019,Sharon,Meyer,customer_19@example.com,474-635-0313x650,1981-04-09,F,56-65,Premium,2023-08-16,Phone,1639,"792 Townsend Gateway, South Christopher, RI 44858",North Michaelberg,NY,92425
CUST_00000020,Amanda,Rodriguez,customer_20@example.com,935.985.7306x5240,1979-08-28,F,46-55,Budget,2024-01-24,Email,4907,"557 Dillon Rapid, North Amanda, NV 39255",Ambermouth,TX,00595
CUST_00000021,Kimberly,Hunter,customer_21@example.com,001-920-495-9351x8638,1983-01-22,F,26-35,VIP,2023-05-28,SMS,1234,"81022 James Oval, North Anthony, SD 51435",Foxshire,IL,34047
CUST_00000022,Brandon,Walker,customer_22@example.com,001-210-637-1705x865,1977-10-06,M,36-45,Budget,2024-08-21,Email,4871,"81138 Lopez Pine, New Colleen, HI 73694",Reeseshire,IL,47419
CUST_00000023,Emily,Park,customer_23@example.com,(712)728-6852x89755,1970-06-01,F,26-35,Premium,2024-05-03,SMS,9473,"398 Nicholas Plaza Suite 577, Smithton, LA 78588",New Derekport,CA,01361
CUST_00000024,Kevin,Walker,customer_24@example.com,404-688-8992x10752,1967-07-25,Other,36-45,Budget,2024-03-08,Email,9280,"96931 Mcguire Extensions Suite 919, Benjaminshire, MS 10787",Port Matthewchester,IL,55095
CUST_00000025,Sarah,Martinez,customer_25@example.com,001-539-406-0480x58925,1947-08-15,F,46-55,Standard,2024-08-18,Phone,1256,"981 Ryan Turnpike Suite 225, South Ashleyton, OH 52823",Christopherhaven,TX,57450
CUST_00000026,Kim,Anderson,customer_26@example.com,(578)537-6938,1948-12-13,Other,36-45,VIP,2024-10-07,SMS,8846,"66553 Cooper Shoal, Port Kevinstad, RI 58462",South Brady,TX,31104
CUST_00000027,James,Brooks,customer_27@example.com,001-211-703-9240x51477,1957-08-09,M,46-55,VIP,2024-01-19,Phone,8443,"792 Nicholas Shore Apt. 420, Jamesview, AR 61444",North Paulview,FL,87399
CUST_00000028,Melissa,Keller,customer_28@example.com,904-363-6815,1956-03-07,Other,56-65,Standard,2023-12-09,Email,8457,"38457 Garner Brook, Gabriellestad, SC 40127",New Joshua,NY,08628
CUST_00000029,Connie,Johns,customer_29@example.com,8845325621,1970-09-23,Other,46-55,Standard,2024-02-26,SMS,7656,"578 Jamie Dam Apt. 248, South Wendy, WI 19526",West Carlos,TX,70357
CUST_00000030,Stacy,Wilson,customer_30@example.com,220-656-6474x23122,1982-08-03,Other,56-65,VIP,2024-04-10,SMS,981,"051 Anderson Vista, Josephstad, HI 51286",Wellsburgh,IL,25831
CUST_00000031,Jeremy,Ortiz,customer_31@example.com,9467333127,1999-01-16,M,36-45,VIP,2025-02-05,Email,3938,"656 Abigail Mission, Wilcoxton, FM 32708",Terrellton,NY,73599
CUST_00000032,Paul,Hubbard,customer_32@example.com,8346764472,1983-01-24,Other,65+,Budget,2022-08-07,Phone,6721,"7181 Kimberly Square, South Robert, NV 03766",South Brittany,TX,93907
CUST_00000033,Paula,Khan,customer_33@example.com,345-821-1175,1990-03-25,M,65+,Standard,2025-05-12,Phone,4373,"8602 Cunningham Shoals, East Misty, HI 93830",South Kylemouth,TX,38352
CUST_00000034,Courtney,Wilson,customer_34@example.com,(230)994-0777,1959-06-04,Other,26-35,Budget,2024-03-15,SMS,9850,"1990 Nicole Harbors Apt. 022, Lake Michaelberg, PR 04751",Markland,NY,06927
CUST_00000035,Daniel,Chaney,customer_35@example.com,(749)299-8279,1950-04-21,F,26-35,Premium,2023-05-03,Email,3144,"68147 David Wall Suite 586, Lake Jason, AR 14827",South Jenniferport,CA,56475
CUST_00000036,Chelsea,Stewart,customer_36@example.com,699.552.9978x77293,1944-07-15,M,36-45,VIP,2022-07-05,Phone,9172,"396 Williams Keys, North Danielle, UT 37414",Kristyport,FL,39859
CUST_00000037,William,Nguyen,customer_37@example.com,5157569902,1996-12-19,F,65+,Premium,2025-03-15,Email,2610,"27278 Ford Via Suite 084, Angelatown, IL 76181",Laurenstad,TX,09179
CUST_00000038,Tara,Ramirez,customer_38@example.com,3566829962,1988-11-13,M,18-25,Budget,2023-05-19,Phone,9022,"73574 Alicia Extensions Apt. 503, South Williamfort, MH 66044",East Matthew,NY,63870
CUST_00000039,Jessica,Mills,customer_39@example.com,001-252-318-2307x68104,1965-06-07,Other,18-25,VIP,2025-02-07,Email,906,"94353 Justin Place Suite 714, East Joshua, AL 82151",East Amyside,CA,42245
CUST_00000040,Joseph,Harding,customer_40@example.com,993-221-4958x7020,1951-02-10,F,56-65,Budget,2022-08-06,Email,6668,"997 Edwards Viaduct, Lake Katherine, AS 70425",Port Kathyshire,TX,17775
CUST_00000041,Christopher,Lang,customer_41@example.com,001-771-874-7733x294,1955-12-27,Other,65+,Premium,2025-03-10,Phone,2302,"7017 Michael Mountain Apt. 459, New Dakota, GU 94122",West Angelaland,NY,40100
CUST_00000042,Amanda,Morales,customer_42@example.com,(739)538-2761x53966,1955-05-05,M,56-65,Premium,2024-06-11,SMS,9509,"99758 Lynn Fall Suite 619, Lake Lisafurt, MD 65289",North Jeffberg,IL,76623
CUST_00000043,Rebecca,Fields,customer_43@example.com,9225784699,1957-05-24,F,46-55,Premium,2025-01-25,Email,9827,"5190 Abbott Walk Suite 058, North Jacquelinestad, DE 37490",East Ryanshire,CA,52178
CUST_00000044,Colleen,Joseph,customer_44@example.com,(466)683-2723x8656,2007-04-11,F,36-45,VIP,2024-06-12,SMS,3865,"027 Proctor Dale, East Dawnchester, VI 60273",Hansonmouth,FL,67271
CUST_00000045,Roger,Wilkins,customer_45@example.com,(753)226-9097x3846,2006-01-24,M,26-35,Premium,2024-02-21,Email,3507,"712 Marshall Common, East Thomasland, TX 83559",Chloemouth,TX,70628
CUST_00000046,Kimberly,Harrison,customer_46@example.com,279.956.5442x09494,1980-11-10,F,46-55,Budget,2024-02-26,SMS,916,"904 Miller Parkways Apt. 442, Joshuaview, AL 97681",New Gregshire,FL,97358
CUST_00000047,Edward,Griffin,customer_47@example.com,(443)472-8051,1997-03-16,Other,36-45,Premium,2024-09-11,Phone,8941,"72395 Dawn Throughway Apt. 027, Alvarezfort, WA 99123",South Frances,FL,51628
CUST_00000048,Thomas,Thomas,customer_48@example.com,(704)676-5801x85694,1961-04-06,F,65+,Standard,2022-09-24,Phone,2374,"3938 Byrd Falls Suite 800, North Roberthaven, CT 90350",Bellport,TX,33517
CUST_00000049,James,Johnson,customer_49@example.com,409-839-1119,1985-10-15,F,65+,Budget,2025-02-19,Phone,345,"24471 Livingston Harbor, Schwartzmouth, KS 21730",West Kimberlyfurt,IL,51434
CUST_00000050,Marvin,Brown,customer_50@example.com,827-517-3962x712,1983-02-12,M,65+,Premium,2022-10-03,SMS,3926,"01194 Smith Parks Apt. 006, Edwardmouth, MH 51793",New Jasminefort,TX,63171
CUST_00000051,Amber,Smith,upowell@example.org,001-771-398-5546x015,1997-06-06,Other,46-55,Budget,2024-09-19,SMS,5945,"80634 Mosley Roads, Tommouth, WA 25334",North James,CA,94838
CUST_00000052,Dawn,Porter,tracybrown@example.net,400.550.5061x387,2002-09-13,Other,26-35,VIP,2022-07-19,Phone,128,"9032 Gerald Causeway, Loriville, NH 80615",Port Brittany,FL,14438
CUST_00000053,Bryan,Harris,crawfordlauren@example.org,365-619-8253x09251,1953-05-02,F,36-45,Premium,2023-09-07,Email,4872,"3902 Kylie Roads, Stricklandtown, FM 64328",North Adrianland,NY,93134
CUST_00000054,Douglas,Nelson,robert72@example.org,763.829.0927x914,1944-09-22,M,46-55,Budget,2023-02-22,SMS,6656,"588 Steven Road, West Brian, DE 20059",Jimenezburgh,CA,88337
CUST_00000055,Ryan,Cook,brownmichael@example.org,001-970-710-8220x78113,1970-11-02,F,18-25,VIP,2024-09-04,Phone,6765,"PSC 3153, Box 1363, APO AA 29423",South Brendaton,TX,57630
CUST_00000056,Paul,Taylor,javierlynch@example.org,001-935-943-5209x0421,1970-10-14,Other,46-55,Premium,2024-09-19,Email,4275,"292 Christopher Walks Suite 397, Ramirezchester, WA 32830",West Ryan,IL,29652
CUST_00000057,Tina,Williams,robinvillanueva@example.com,280.868.6717x7318,2004-04-12,M,36-45,VIP,2022-11-01,SMS,8973,"74279 Tiffany Mountain, Port Jacqueline, HI 49052",Padillatown,TX,82723
CUST_00000058,Antonio,Simmons,cruzhannah@example.net,398-893-1950x850,1967-06-21,F,65+,Premium,2024-04-17,Email,3010,"818 Devon Isle, New Daniel, NJ 97150",Port Julie,FL,30049
CUST_00000059,Rodney,Brown,michael48@example.net,(757)378-8178x847,1956-04-21,Other,26-35,Premium,2025-02-01,Phone,3278,"41124 Heidi Parks Apt. 380, Robertside, DC 62616",Roberttown,TX,38710
CUST_00000060,Mary,Stone,bryanwiggins@example.org,669-455-7988x77492,1994-02-28,F,56-65,Premium,2023-02-12,Email,2585,"25472 Jennifer Heights Apt. 222, North Blake, MD 75805",South Jorge,NY,24683
CUST_00000061,Tiffany,Hernandez,annajohnson@example.com,482.284.1067x275,2005-07-22,Other,65+,Standard,2024-01-28,SMS,6722,"4929 Morgan Creek Suite 028, West Angelbury, NV 47345",West Brianborough,TX,76972
CUST_00000062,Andrew,Ryan,kimberlywang@example.org,818.463.7599x805,1989-07-17,F,46-55,Standard,2023-09-20,Phone,2842,"5547 Jason Mills, Laraport, GA 95921",Chandlerchester,IL,18794
CUST_00000063,Valerie,Jones,thomaskevin@example.net,001-961-406-4628,1956-12-27,F,36-45,Standard,2024-12-07,Email,6791,"49478 Walker Turnpike Apt. 244, Martinezport, MT 24011",Knoxbury,TX,04229
CUST_00000064,Carol,Cox,hubbardtrevor@example.org,296.447.1589x0429,1964-07-29,M,46-55,VIP,2025-01-26,SMS,3677,"45650 Carter Route, New Jamesburgh, WV 12888",New Marcus,CA,41947
CUST_00000065,Betty,Morrow,joseph51@example.net,3285457652,1954-03-05,M,56-65,Standard,2023-02-06,Email,7576,"7112 Timothy Inlet, Donmouth, FM 78836",Geraldport,NY,04270
CUST_00000066,Hailey,Parker,walkermelissa@example.org,221.561.1076,1951-03-25,F,65+,Standard,2024-10-25,Email,6570,"1401 Contreras Throughway, Port Davidborough, OR 26718",Lake Michael,IL,12399
CUST_00000067,Michael,Martin,meghanmcmahon@example.net,293.389.1190x83342,2002-08-30,F,56-65,Budget,2025-03-13,Email,1459,"9271 Mary Light Suite 383, Rodriguezmouth, DE 61567",New Derekstad,TX,92871
CUST_00000068,Tristan,Cruz,angela01@example.com,794.473.8646x317,1945-03-30,M,56-65,Premium,2024-06-16,Email,8615,"8112 Morales Ramp Apt. 215, West James, PR 53491",East Maryfort,FL,37006
CUST_00000069,Elizabeth,Clements,katelyn65@example.com,384.227.1147x7320,1996-09-29,F,65+,VIP,2023-12-06,Email,3677,"9524 Kathleen Shore, Sparksborough, LA 87282",Henryview,NY,71599
CUST_00000070,Stephanie,Johnson,lisa88@example.org,(916)875-6770x02842,1952-11-28,M,36-45,Budget,2024-08-01,SMS,8096,"788 Alvarez Walk, New Brian, KS 65341",Jensenstad,FL,37782
CUST_00000071,Mary,Bailey,bryan90@example.org,001-590-556-1655x6503,1985-04-07,M,46-55,Standard,2024-03-19,SMS,3531,"PSC 1415, Box 2085, APO AE 60913",Bradleychester,TX,35447
CUST_00000072,Nicholas,Myers,dominguezbrianna@example.com,001-417-613-5785,1967-04-30,Other,65+,Standard,2023-09-29,Phone,2955,"344 Kenneth Ports, Ballardland, VT 76285",New Matthewland,FL,74743
CUST_00000073,Denise,Turner,wsimmons@example.org,268-453-6649x8782,1980-10-11,M,18-25,Budget,2023-01-28,Phone,3858,"USCGC Adams, FPO AP 70325",Michaelton,IL,68955
CUST_00000074,Julie,Cannon,michaelhernandez@example.org,(365)413-6442x49363,1956-07-11,F,26-35,Budget,2023-03-05,SMS,7506,"8660 Erik Dale Apt. 448, Lake Melissa, VA 64181",North Micheleland,CA,41645
CUST_00000075,Diane,Davis,michelle65@example.net,001-523-319-8189x8471,1993-02-23,M,46-55,Standard,2023-05-18,Phone,6513,"363 Daniel Forest Suite 764, South Amandaville, MD 72032",Wellsbury,NY,36904
CUST_00000076,Andrew,Rasmussen,michaelbaldwin@example.com,+1-900-834-8645x183,1944-12-06,Other,46-55,VIP,2025-04-26,SMS,9784,"PSC 4413, Box 4327, APO AP 42074",Mccormickview,TX,10999
CUST_00000077,Jennifer,Mcdowell,aruiz@example.com,724-981-5698,1988-03-26,M,18-25,Premium,2024-09-21,Email,5453,"720 Gonzalez Inlet, Barbaraville, GA 33217",Port Brooke,NY,54281
CUST_00000078,Grace,Serrano,shannon24@example.org,531-365-2669x3008,2005-10-21,F,36-45,Premium,2023-01-12,Email,4155,"69694 Christopher Land, New David, VT 69423",Ayalamouth,IL,88792
CUST_00000079,James,Atkins,twilson@example.org,447-862-6393x436,1994-05-12,Other,46-55,Budget,2022-07-10,Phone,6076,"Unit 3973 Box 5971, DPO AE 61958",Port Marcus,NY,91336
CUST_00000080,Jeanette,Fitzgerald,tmcdaniel@example.com,211-280-0537x599,1960-06-01,Other,18-25,Standard,2024-04-18,Phone,2783,"528 Beverly Green Apt. 875, Andersonmouth, VT 70024",Thomasville,IL,41561
CUST_00000081,Julie,Howe,goodvictor@example.com,249-548-5625x7287,1953-10-19,F,36-45,VIP,2023-02-15,Email,1468,"76170 Kelly Station Suite 771, North Michael, IL 37740",Port Gary,TX,67182
CUST_00000082,Whitney,Smith,anna93@example.net,001-392-761-3715x04165,1954-02-15,Other,56-65,VIP,2022-09-05,Email,4266,"4905 Diana Mission Suite 923, Port Dawnmouth, AS 07780",New Stephaniefurt,CA,12631
CUST_00000083,Christopher,Phelps,pscott@example.com,(666)442-1476,1967-01-21,F,18-25,Standard,2022-09-22,Phone,4603,"7674 Davis Manors, Christinachester, SC 56339",North Williammouth,TX,89163
CUST_00000084,Alison,Holland,deborahreeves@example.com,647-561-7422,1977-05-23,F,36-45,Budget,2023-04-28,SMS,4321,"81866 Steven Stravenue, Michaelshire, CO 66488",North Joymouth,IL,24035
CUST_00000085,Nancy,Evans,meganwilliams@example.com,001-377-694-5232,1999-05-07,F,46-55,Standard,2022-10-03,Phone,8049,"1027 Holt Ways, Turnerstad, UT 88817",Ballardland,NY,16896
CUST_00000086,Heather,Lopez,alexanderrodriguez@example.org,6379236831,1953-10-09,Other,65+,VIP,2023-09-14,Email,3095,"777 Michelle Prairie, East Kenneth, MP 51846",West Alanchester,NY,54985
CUST_00000087,Angela,Roberts,mmclaughlin@example.net,767.389.9730x8069,1961-04-24,M,26-35,Standard,2024-05-19,Email,7704,"9576 Evan Stream, South Maurice, IN 67037",New Regina,TX,44954
CUST_00000088,Jennifer,Moyer,sanderson@example.net,+1-957-329-3417x22329,1994-06-05,M,65+,VIP,2025-04-07,Phone,1900,"80054 Rhodes Extensions, Port Brycechester, DE 81446",North Anna,FL,64249
CUST_00000089,Joseph,Hernandez,victoria50@example.net,001-289-310-7711x991,1954-12-17,M,46-55,Budget,2022-10-16,SMS,9189,"47871 Deborah Isle Apt. 137, Hammondtown, IA 62585",Justinburgh,FL,11672
CUST_00000090,Elizabeth,Hernandez,nathan65@example.net,001-286-332-6667x85072,1949-10-11,F,46-55,Premium,2023-05-20,SMS,2425,"Unit 2606 Box 0290, DPO AP 94003",Robertside,CA,40389
CUST_00000091,Cheryl,Thomas,regina04@example.net,(773)889-9756x3410,1990-02-12,F,18-25,Standard,2024-08-28,Phone,2959,"18848 Sherman Estate Apt. 089, Johnport, VA 55911",Lake Brianstad,NY,34547
CUST_00000092,Ashley,Smith,david17@example.com,539-398-9354x49268,1965-02-02,Other,56-65,Budget,2024-03-08,SMS,9595,"1266 Christopher Manors Apt. 737, West Ericafurt, OR 73766",Wigginsshire,NY,65883
CUST_00000093,Jessica,Butler,sbarajas@example.com,(328)527-7288,1973-02-16,Other,18-25,Standard,2022-07-14,Phone,1258,"96115 Williams Drives Apt. 545, Kellytown, WY 19227",Port Brittany,NY,06877
CUST_00000094,Tracy,Martinez,pamela32@example.net,(410)467-9497x567,1976-03-27,F,65+,Premium,2023-10-27,Phone,425,"51996 Hall Locks Suite 807, Debbieburgh, VT 03752",Annville,TX,84900
CUST_00000095,Katherine,Bernard,leechristine@example.net,337.780.1820x43397,1969-10-01,Other,65+,Premium,2022-07-28,Phone,6120,"6260 Reyes Course, North Amberport, FL 24443",Kaylaberg,IL,40713
CUST_00000096,Susan,White,dgregory@example.net,001-204-561-5265x461,1959-07-14,M,36-45,Standard,2024-03-24,Email,1328,"40578 Jones Burgs Suite 304, East Kathrynberg, ME 74982",Griffinhaven,FL,27168
CUST_00000097,Amanda,Henderson,nathanielgalloway@example.org,+1-270-907-9420,1961-08-27,Other,65+,VIP,2023-03-10,Phone,4412,"398 Williams Streets Apt. 416, Port Donaldside, KY 57119",New William,IL,42221
CUST_00000098,Eileen,Morris,cynthia74@example.org,279.250.2097,1986-10-25,Other,18-25,Budget,2023-09-04,Email,7423,"PSC 7681, Box 1807, APO AP 16677",Teresafurt,TX,79316
CUST_00000099,Mitchell,Lee,paul01@example.com,5305453194,2006-03-08,Other,65+,Standard,2025-05-04,Email,797,"930 Tracey Route Suite 149, Jacksonborough, TN 97338",North Brianna,TX,98277
CUST_00000100,Nicole,Daniel,andersonsarah@example.org,830-889-4870x605,1961-09-13,F,18-25,Premium,2024-06-23,SMS,9867,"030 Hull Place Suite 506, West Christopher, OK 03826",Lake Rodney,FL,10258
CUST_00000101,Connie,Davis,jamesmurphy@example.org,560.395.4317x3505,1993-04-22,M,46-55,Budget,2024-04-18,Email,3933,"110 Nicholas Vista Apt. 207, West Cherylchester, CA 13847",New Brettfurt,FL,53150
CUST_00000102,Kristin,Hanson,williamsonrobert@example.net,567.369.9150x785,1950-11-27,M,18-25,Standard,2024-03-22,Email,6365,"284 Fisher Stream, Lopezberg, AS 06277",East Larrychester,FL,67757
CUST_00000103,Terrance,Morrison,larry82@example.org,550-589-2038x8065,1984-10-16,F,65+,Standard,2023-01-15,Email,4891,"779 Christian Port, Christinachester, MA 21771",South Nancyton,FL,65503
CUST_00000104,Jerry,Hanson,samanthafowler@example.net,275.363.6205,1966-12-25,F,65+,Budget,2024-02-06,SMS,9887,"95003 Justin Forges Suite 258, East James, HI 34814",North Marieberg,NY,50167
CUST_00000105,John,Pacheco,morganjason@example.com,+1-728-896-1122x33865,2005-12-26,F,65+,Premium,2023-03-04,Phone,8399,"425 Brian Underpass, Moniquehaven, OR 64593",Lake Christopher,NY,62192
CUST_00000106,Karen,Brooks,jacksonpaul@example.net,572.555.8777x49690,2000-10-24,F,46-55,VIP,2023-10-17,Phone,4398,"6692 Scott Corner, Port Christopher, NV 68503",Jerryton,IL,61482
CUST_00000107,Michael,Jimenez,ronald76@example.com,360-627-3415x148,2002-10-24,Other,46-55,Premium,2022-09-24,Phone,6033,"353 Wright Summit, Jamesberg, PR 99117",Alanport,IL,37443
CUST_00000108,Katherine,Smith,krista66@example.net,+1-982-763-3373x8987,1994-04-29,M,46-55,VIP,2023-05-18,Email,662,"77805 Barbara Crossroad Suite 075, Jeremiahchester, TX 99149",Farmerside,IL,39775
CUST_00000109,Eric,Cisneros,brenda90@example.org,399-799-6636x18637,1980-04-25,F,46-55,Standard,2023-10-16,SMS,2540,"PSC 1218, Box 2097, APO AE 24971",North Rhonda,FL,51080
CUST_00000110,Shawn,Wood,jamie48@example.org,8259662128,1991-04-03,Other,65+,Premium,2023-08-09,Phone,7671,"PSC 3234, Box 6729, APO AP 41174",New Jennifer,FL,60657
CUST_00000111,Makayla,Jacobs,james27@example.org,385.697.7790,1985-02-25,M,46-55,Budget,2025-03-12,Email,2093,"9263 Rachel Street Suite 762, South Hollyton, IA 21201",Nicoleside,TX,38759
CUST_00000112,Regina,Jenkins,wolfejennifer@example.org,001-281-951-1856x72438,1946-02-13,M,56-65,VIP,2024-05-09,Phone,9314,"5636 Alex Crescent Apt. 577, Jonesside, TN 32258",Taylorview,CA,21651
CUST_00000113,Kelly,Nichols,marylawson@example.org,(921)204-2752x3083,1997-02-18,Other,18-25,Premium,2024-11-14,SMS,1763,"4709 Brandon Lane, East Nicholas, IA 26713",North Roberttown,IL,44687
CUST_00000114,Laura,Rivas,erinbrown@example.org,(520)568-1558,2003-04-19,F,46-55,Premium,2023-08-15,Phone,9313,"15520 Valdez Bridge, Lewisbury, CA 86741",Debrastad,TX,06260
CUST_00000115,Victor,Mooney,mcclurerobert@example.net,001-789-924-1956x252,1948-09-09,F,36-45,Premium,2022-06-28,SMS,266,"PSC 7683, Box 8903, APO AE 81287",West Joelchester,CA,99754
